path,latency,noise,snr
D->B->A,0.0038319707486856114,7.6586395315504e-07,31.158483708916314
D->C->A,0.004177373817914672,8.34896776571656e-07,30.783672156978156
D->E->C->A,0.006047602246109837,1.2086836949117263e-06,29.176873364653247
D->F->B->A,0.0058603845613812095,1.1712660616544832e-06,29.31344440552332
D->E->F->B->A,0.008906201754723569,1.7800080769949952e-06,27.495780270245902
D->F->E->C->A,0.009190725041137522,1.8368733672565127e-06,27.359207826149156
D->B->F->E->C->A,0.01143727054645662,2.2858716332888225e-06,26.409481617445998
D->C->E->F->B->A,0.010573954831652929,2.1133279398414726e-06,26.750331052133596
D->B,0.0020629799961233487,4.1231056256176617e-07,33.84775539310863
D->A->B,0.003674252101531199,7.343420458864693e-07,31.34101604879875
D->F->B,0.004091393808818946,8.177126710612095e-07,30.873992724822998
D->C->A->B,0.005946364570476935,1.1884501671649297e-06,29.250190239307692
D->E->F->B,0.007137211002161307,1.4264546864017214e-06,28.45742019841646
D->C->E->F->B,0.008804964079090667,1.7597745492481988e-06,27.545429675773857
D->E->C->A->B,0.0078165929986721,1.562237085505e-06,28.06253056813921
D->A->C->E->F->B,0.011279551899302208,2.254349726020252e-06,26.469787092752803
D->F->E->C->A->B,0.010959715793699785,2.1904267578497864e-06,26.594712639162893
D->C,0.0018040236733360328,3.60555127546399e-07,34.43028323846582
D->A->C,0.004278611493547574,8.551303043184525e-07,30.679677026582116
D->E->C,0.003674252101531199,7.343420458864693e-07,31.34101604879875
D->B->A->C,0.006205320893264249,1.240205602180297e-06,29.06506311216375
D->F->E->C,0.006817374896558884,1.3625317182312558e-06,28.656533790384945
D->B->F->E->C,0.009063920401877982,1.8115299842635656e-06,27.41954473171017
D->F->B->A->C,0.008233734705959847,1.6456077106797403e-06,27.83673686372996
D->A->B->F->E->C,0.010675192507285833,2.133561467588269e-06,26.708948406650595
D->E->F->B->A->C,0.011279551899302208,2.254349726020252e-06,26.469787092752803
D->E,0.001905261348968936,3.807886552931955e-07,34.19315998882512
D->C->E,0.003573014425898296,7.141085181396728e-07,31.46235786475725
D->F->E,0.0050483841439966206,1.008978327637982e-06,29.96118162096408
D->A->C->E,0.006047602246109837,1.2086836949117263e-06,29.176873364653247
D->B->F->E,0.00729492964931572,1.4579765936702919e-06,28.362494481177905
D->A->B->F->E,0.00890620175472357,1.7800080769949952e-06,27.495780270245902
D->B->A->C->E,0.007974311645826512,1.5937589927735708e-06,27.975773517115883
D->C->A->B->F->E,0.011178314223669307,2.2341161982734557e-06,26.508942426095764
D->F->B->A->C->E,0.01000272545852211,1.999161101273014e-06,26.991522070951092
D->F,0.0019539141498115978,3.905124837953328e-07,34.08365078158597
D->B->F,0.004200459655130697,8.395107498276428e-07,30.759737384051032
D->E->F,0.004999731343153959,9.992544991358447e-07,30.003238876558264
D->A->B->F,0.005811731760538548,1.1615422331523459e-06,29.349649948249454
D->C->E->F,0.006667484420083318,1.3325743619823221e-06,28.7530854658095
D->A->C->E->F,0.00914207224029486,1.8271495387543753e-06,27.38225907382988
D->C->A->B->F,0.008083844229484284,1.6156503544308064e-06,27.916526197811727
D->B->A->C->E->F,0.011068781640011535,2.21222483661622e-06,26.551707361650074
D->E->C->A->B->F,0.009954072657679449,1.9894372727708767e-06,27.012697496660934
E->C->A,0.004142340897140901,8.278950396185308e-07,30.820247195000423
E->D->A,0.003810522697937872,7.61577310586391e-07,31.18286003218531
E->C->D->A,0.005478275774867232,1.0948971734328683e-06,29.606266653970135
E->D->B->A,0.005737232097654548,1.1466526084482354e-06,29.4056813666335
E->D->C->A,0.006082635166883607,1.2156854318648514e-06,29.15178787628153
E->F->B->A,0.0070009404057546345,1.3992194217017995e-06,28.541141753136984
E->F->D->A,0.006953645492965557,1.3897669829311775e-06,28.5705801018508
E->C->D->B->A,0.007404985174583908,1.4799724712947128e-06,28.297463627644962
E->D->F->B->A,0.007765645910350145,1.5520547169476787e-06,28.09092971963425
E->F->B->D->A,0.009200190998284655,1.8387652489634873e-06,27.354737126256715
E->F->D->B->A,0.008880354892682232,1.7748422807930219e-06,27.508402339467033
E->F->D->C->A,0.009225757961911291,1.8438751042096378e-06,27.34268499437251
E->C->D->F->B->A,0.009433398987279504,1.885374579794156e-06,27.24602352738605
E->F->B->D->C->A,0.011472303467230391,2.2928733702419476e-06,26.39619929624072
E->D->B,0.0039682413450922846,7.930992178549617e-07,31.006724784181998
E->F->B,0.005231949653192371,1.0456660311085258e-06,29.806069999869898
E->C->A->B,0.005911331649703164,1.1814484302118046e-06,29.27585230411839
E->C->D->B,0.005635994422021645,1.126419080701439e-06,29.483000015141428
E->D->A->B,0.005579513450500135,1.1151307011796648e-06,29.526742272575458
E->D->F->B,0.005996655157787882,1.198501326354405e-06,29.213614810061472
E->F->D->B,0.00711136414011997,1.4212888901997481e-06,28.473176387031014
E->C->A->D->B,0.008110582242233186,1.6209942574734923e-06,27.902185236783154
E->C->D->A->B,0.0072472665274294955,1.448450564026142e-06,28.390963227847163
E->C->D->F->B,0.0076644082347172415,1.5318211892008823e-06,28.147919273115363
E->D->C->A->B,0.00785162591944587,1.5692388224581251e-06,28.04310956105352
E->F->D->A->B,0.00872263624552782,1.7433203735244512e-06,27.586227943769032
